"","state","origin","etnia","2015","2016","2017","2018","2019"
"115","Connecticut",1,1,4908116,4853882,4803056,4751994,4700246
"116","Connecticut",1,2,712828,717754,723380,729356,737668
"117","Connecticut",1,3,15642,15494,15474,15516,15612
"118","Connecticut",1,4,320046,325930,331784,338226,344710
"119","Connecticut",1,5,2582,2538,2570,2530,2532
"120","Connecticut",1,6,119578,121694,123936,125768,127896
"121","Connecticut",2,1,900850,920116,941194,967098,982836
"122","Connecticut",2,2,117856,119972,123294,127276,131502
"123","Connecticut",2,3,22188,22684,23610,24756,25522
"124","Connecticut",2,4,7774,7858,8088,8294,8448
"125","Connecticut",2,5,4896,4894,5022,5110,5226
"126","Connecticut",2,6,41888,43466,45186,47116,48376
"127","Delaware",0,1,1324770,1330174,1336208,1342262,1348150
"128","Delaware",0,2,423500,430146,436780,443748,451088
"129","Delaware",0,3,11982,12108,12410,12880,13128
"130","Delaware",0,4,73044,74838,76190,78202,79726
"131","Delaware",0,5,1730,1838,1920,2026,2118
"132","Delaware",0,6,47478,48738,50138,51840,53318
"133","Delaware",1,1,1192200,1194212,1195718,1197688,1200698
"134","Delaware",1,2,404040,410236,416346,422780,429316
"135","Delaware",1,3,5838,5880,5936,6012,6006
"136","Delaware",1,4,71872,73632,74912,76868,78348
"137","Delaware",1,5,664,678,690,686,702
"138","Delaware",1,6,41068,42210,43298,44636,45676
"139","Delaware",2,1,132570,135962,140490,144574,147452
"140","Delaware",2,2,19460,19910,20434,20968,21772
"141","Delaware",2,3,6144,6228,6474,6868,7122
"142","Delaware",2,4,1172,1206,1278,1334,1378
"143","Delaware",2,5,1066,1160,1230,1340,1416
"144","Delaware",2,6,6410,6528,6840,7204,7642
"145","District of Columbia",0,1,596530,611408,626020,637932,649162
"146","District of Columbia",0,2,653568,655514,655626,654438,648968
"147","District of Columbia",0,3,8026,8202,8176,8206,8260
"148","District of Columbia",0,4,54864,57438,59856,61508,63004
"149","District of Columbia",0,5,1904,1928,1888,1906,1846
"150","District of Columbia",0,6,35908,37140,38246,39104,40258
"151","District of Columbia",1,1,487398,498844,510796,520162,528800
"152","District of Columbia",1,2,632756,634374,633984,632206,626580
"153","District of Columbia",1,3,2764,2828,2796,2836,2826
"154","District of Columbia",1,4,53152,55636,58018,59616,61082
"155","District of Columbia",1,5,602,654,692,690,678
"156","District of Columbia",1,6,28966,30004,31000,31602,32578
"157","District of Columbia",2,1,109132,112564,115224,117770,120362
"158","District of Columbia",2,2,20812,21140,21642,22232,22388
"159","District of Columbia",2,3,5262,5374,5380,5370,5434
"160","District of Columbia",2,4,1712,1802,1838,1892,1922
"161","District of Columbia",2,5,1302,1274,1196,1216,1168
"162","District of Columbia",2,6,6942,7136,7246,7502,7680
"163","Florida",0,1,31425540,32005176,32491458,32880836,33194784
"164","Florida",0,2,6806106,6945054,7076914,7179914,7267030
"165","Florida",0,3,198122,203260,207814,212848,217900
"166","Florida",0,4,1119130,1164684,1207252,1238604,1269654
"167","Florida",0,5,44118,45786,47054,48062,49282
"168","Florida",0,6,825068,862994,896734,928370,956824
"169","Florida",1,1,22310486,22536260,22686852,22778570,22873370
"170","Florida",1,2,6301802,6415034,6522120,6601490,6670526
"171","Florida",1,3,103038,104586,105952,106996,108030
"172","Florida",1,4,1075900,1119604,1160434,1190378,1220180
"173","Florida",1,5,25096,26004,26566,27044,27654
"174","Florida",1,6,640088,665878,688182,708442,727994
"175","Florida",2,1,9115054,9468916,9804606,10102266,10321414
"176","Florida",2,2,504304,530020,554794,578424,596504
"177","Florida",2,3,95084,98674,101862,105852,109870
"178","Florida",2,4,43230,45080,46818,48226,49474
"179","Florida",2,5,19022,19782,20488,21018,21628
"180","Florida",2,6,184980,197116,208552,219928,228830
"181","Georgia",0,1,12540014,12611918,12670558,12723578,12783010
"182","Georgia",0,2,6483850,6597736,6706636,6809902,6916294
"183","Georgia",0,3,102466,105482,107164,109496,112016
"184","Georgia",0,4,798852,839830,871968,898970,927932
"185","Georgia",0,5,23260,23678,24044,24560,24822
"186","Georgia",0,6,408452,425136,440290,455756,470772
"187","Georgia",1,1,10978678,11003890,11020748,11029892,11046716
"188","Georgia",1,2,6310556,6418586,6521648,6618556,6718898
"189","Georgia",1,3,45976,46612,47044,47832,48768
"190","Georgia",1,4,781840,822042,853558,879990,908294
"191","Georgia",1,5,12332,12488,12762,13040,13282
"192","Georgia",1,6,349528,363200,375758,388212,401440
"193","Georgia",2,1,1561336,1608028,1649810,1693686,1736294
"194","Georgia",2,2,173294,179150,184988,191346,197396
"195","Georgia",2,3,56490,58870,60120,61664,63248
"196","Georgia",2,4,17012,17788,18410,18980,19638
"197","Georgia",2,5,10928,11190,11282,11520,11540
"198","Georgia",2,6,58924,61936,64532,67544,69332
"199","Hawaii",0,1,741280,743310,737586,731140,722634
"200","Hawaii",0,2,59504,61472,62132,62258,61916
"201","Hawaii",0,3,11274,11114,11028,11194,11140
"202","Hawaii",0,4,1072248,1075388,1071172,1066976,1064380
"203","Hawaii",0,5,290528,290224,289456,288364,287098
"204","Hawaii",0,6,669270,673610,677412,681254,684576
"205","Hawaii",1,1,638786,636462,629430,621660,613244
"206","Hawaii",1,2,53416,55252,55696,55910,55560
"207","Hawaii",1,3,6148,6068,5942,6066,6034
"208","Hawaii",1,4,1038984,1041940,1038018,1034236,1031818
"209","Hawaii",1,5,269940,269464,268722,267852,266738
"210","Hawaii",1,6,546200,548748,551118,553680,556622
"211","Hawaii",2,1,102494,106848,108156,109480,109390
"212","Hawaii",2,2,6088,6220,6436,6348,6356
"213","Hawaii",2,3,5126,5046,5086,5128,5106
"214","Hawaii",2,4,33264,33448,33154,32740,32562
"215","Hawaii",2,5,20588,20760,20734,20512,20360
"216","Hawaii",2,6,123070,124862,126294,127574,127954
"217","Idaho",0,1,3086678,3139464,3201730,3260104,3324730
"218","Idaho",0,2,27290,28960,30470,31564,32692
"219","Idaho",0,3,57786,58950,60106,61034,62240
"220","Idaho",0,4,47856,50946,52788,53922,55422
"221","Idaho",0,5,6604,6920,7310,7612,7888
"222","Idaho",0,6,75904,79520,83026,86836,91158
"223","Idaho",1,1,2727784,2768088,2818136,2864624,2916554
"224","Idaho",1,2,22506,23888,25262,26234,27168
"225","Idaho",1,3,37000,37618,38156,38750,39476
"226","Idaho",1,4,44738,47618,49292,50288,51556
"227","Idaho",1,5,5330,5598,5896,6190,6348
"228","Idaho",1,6,61674,64804,67552,70574,74048
"229","Idaho",2,1,358894,371376,383594,395480,408176
"230","Idaho",2,2,4784,5072,5208,5330,5524
"231","Idaho",2,3,20786,21332,21950,22284,22764
"232","Idaho",2,4,3118,3328,3496,3634,3866
"233","Idaho",2,5,1274,1322,1414,1422,1540
"234","Idaho",2,6,14230,14716,15474,16262,17110
"235","Illinois",0,1,19885900,19795250,19696570,19573882,19453830
"236","Illinois",0,2,3778482,3758084,3735416,3717284,3705032
"237","Illinois",0,3,148714,148672,148454,149406,151000
"238","Illinois",0,4,1405246,1428544,1456764,1476290,1495380
"239","Illinois",0,5,16280,16444,16462,16606,16770
"240","Illinois",0,6,483204,494060,503990,512674,521630
"241","Illinois",1,1,15959746,15833274,15702006,15550648,15405302
"242","Illinois",1,2,3644914,3623638,3600168,3580832,3566886
"243","Illinois",1,3,38728,38702,38592,38496,38638
"244","Illinois",1,4,1374090,1397192,1425250,1444414,1463048
"245","Illinois",1,5,7110,7210,7264,7362,7434
"246","Illinois",1,6,390962,400106,408298,415162,422570
"247","Illinois",2,1,3926154,3961976,3994564,4023234,4048528
"248","Illinois",2,2,133568,134446,135248,136452,138146
"249","Illinois",2,3,109986,109970,109862,110910,112362
"250","Illinois",2,4,31156,31352,31514,31876,32332
"251","Illinois",2,5,9170,9234,9198,9244,9336
"252","Illinois",2,6,92242,93954,95692,97512,99060
"253","Indiana",0,1,11346654,11356640,11367362,11392472,11419184
"254","Indiana",0,2,1270920,1285882,1301234,1321152,1339192
"255","Indiana",0,3,52298,53004,53912,55334,56680
"256","Indiana",0,4,283004,300006,311896,331098,349500
"257","Indiana",0,5,8044,8290,8584,8848,9078
"258","Indiana",0,6,255924,264786,273168,282090,290804
"259","Indiana",1,1,10575684,10564586,10554160,10554464,10557964
"260","Indiana",1,2,1228318,1242074,1255944,1274476,1290750
"261","Indiana",1,3,29882,30080,30400,30872,31376
"262","Indiana",1,4,276796,293578,305238,324236,342406
"263","Indiana",1,5,4472,4630,4912,5038,5154
"264","Indiana",1,6,227628,235628,242848,250604,258082
"265","Indiana",2,1,770970,792054,813202,838008,861220
"266","Indiana",2,2,42602,43808,45290,46676,48442
"267","Indiana",2,3,22416,22924,23512,24462,25304
"268","Indiana",2,4,6208,6428,6658,6862,7094
"269","Indiana",2,5,3572,3660,3672,3810,3924
"270","Indiana",2,6,28296,29158,30320,31486,32722
"271","Iowa",0,1,5719544,5720916,5719548,5718134,5718160
"272","Iowa",0,2,223342,232536,242854,250066,256210
"273","Iowa",0,3,31560,32266,32768,33574,34120
"274","Iowa",0,4,151046,156706,163058,166214,168238
"275","Iowa",0,5,6664,7348,7990,8710,9608
"276","Iowa",0,6,109764,112970,116882,120538,123804
"277","Iowa",1,1,5402276,5393958,5383762,5373020,5365392
"278","Iowa",1,2,213418,222338,232116,238930,244776
"279","Iowa",1,3,18336,18614,18770,19106,19346
"280","Iowa",1,4,148274,153886,160128,163218,165208
"281","Iowa",1,5,5364,6038,6630,7352,8230
"282","Iowa",1,6,97588,100458,103838,107182,110088
"283","Iowa",2,1,317268,326958,335786,345114,352768
"284","Iowa",2,2,9924,10198,10738,11136,11434
"285","Iowa",2,3,13224,13652,13998,14468,14774
"286","Iowa",2,4,2772,2820,2930,2996,3030
"287","Iowa",2,5,1300,1310,1360,1358,1378
"288","Iowa",2,6,12176,12512,13044,13356,13716
"289","Kansas",0,1,5046568,5041968,5035056,5032348,5027692
"290","Kansas",0,2,360258,359208,357210,357078,357450
"291","Kansas",0,3,68270,68434,68614,69076,70126
"292","Kansas",0,4,172040,178202,179126,182822,185724
"293","Kansas",0,5,6362,6538,6816,7182,7374
"294","Kansas",0,6,164524,167338,170614,174212,178262
"295","Kansas",1,1,4449750,4434804,4418734,4406580,4393726
"296","Kansas",1,2,338658,337284,335202,334540,334650
"297","Kansas",1,3,46066,45922,45726,45846,46542
"298","Kansas",1,4,167658,173742,174664,178186,181104
"299","Kansas",1,5,4622,4860,5130,5452,5636
"300","Kansas",1,6,141144,143594,146418,149358,152824
"301","Kansas",2,1,596818,607164,616322,625768,633966
"302","Kansas",2,2,21600,21924,22008,22538,22800
"303","Kansas",2,3,22204,22512,22888,23230,23584
"304","Kansas",2,4,4382,4460,4462,4636,4620
"305","Kansas",2,5,1740,1678,1686,1730,1738
"306","Kansas",2,6,23380,23744,24196,24854,25438
"307","Kentucky",0,1,7801800,7806802,7815304,7820760,7819846
"308","Kentucky",0,2,727916,735012,744550,750150,756958
"309","Kentucky",0,3,25772,26368,26356,26660,26808
"310","Kentucky",0,4,128826,134672,139218,140748,143008
"311","Kentucky",0,5,7212,7414,7872,8178,8384
"312","Kentucky",0,6,160426,166096,171236,175810,180342
"313","Kentucky",1,1,7538262,7534980,7532582,7527596,7518926
"314","Kentucky",1,2,708994,715698,724214,729402,735798
"315","Kentucky",1,3,18246,18580,18538,18730,18792
"316","Kentucky",1,4,125626,131384,135938,137328,139566
"317","Kentucky",1,5,5060,5214,5624,5898,6148
"318","Kentucky",1,6,148648,153888,158658,162666,166704
"319","Kentucky",2,1,263538,271822,282722,293164,300920
"320","Kentucky",2,2,18922,19314,20336,20748,21160
"321","Kentucky",2,3,7526,7788,7818,7930,8016
"322","Kentucky",2,4,3200,3288,3280,3420,3442
"323","Kentucky",2,5,2152,2200,2248,2280,2236
"324","Kentucky",2,6,11778,12208,12578,13144,13638
"325","Louisiana",0,1,5904766,5910118,5885826,5861056,5837686
"326","Louisiana",0,2,3036058,3049260,3052992,3051714,3049466
"327","Louisiana",0,3,71470,71918,72596,72808,73192
"328","Louisiana",0,4,162332,165802,166600,167616,168384
"329","Louisiana",0,5,5838,5806,5738,5698,5708
"330","Louisiana",0,6,148792,153366,157368,160488,163152
"331","Louisiana",1,1,5524448,5520270,5491852,5461172,5430564
